Word	Number of Counts
		474	
town		2	
trading		1	
travel		1	
travelawareness		1	
trending		1	
trentinoalto		1	
trento		1	
truckers		2	
trying		4	
tt		1	
tumbal		1	
tumwesigye		1	
tundramds		1	
tuneri		1	
turinawe		1	
two		23	
twonjex		2	
u		4	
ug		2	
uganda		196	
ugandahotel		1	
ugandalooolwe		1	
ugandamediacent		3	
ugandan		5	
ugandans		2	
ugandaoa		1	
ugandas		9	
ugandasbiggest		1	
ugtrendz		4	
uhuru		1	
uk		4	
und		1	
under		3	
university		2	
univision		1	
unwomenwatch		1	
uot		1	
up		2	
ur		1	
urban		3	
us		1	
usa		2	
users		1	
usual		1	
uwonet		1	
ver		1	
via		4	
viany		1	
victory		1	
view		2	
ville		1	
vincentbaraza		1	
vjmutebigilbert		1	
vnuwaha		1	
vryheid		1	
vulnerable		1	
wamkotaarnold		1	
want		1	
wants		1	
war		2	
warri		1	
wasaarihii		1	
washington		2	
wastes		2	
watchdogs		1	
way		2	
we		15	
wear		1	
website		1	
welcome		1	
western		1	
what		6	
when		3	
while		6	
who		3	
wholl		1	
why		1	
wife		1	
wild		1	
will		5	
winner		1	
winsmarter		1	
wishes		1	
wit		1	
with		7	
without		3	
women		1	
womenmanifesto		2	
womens		2	
womensmanifesto		2	
wonders		1	
woos		2	
works		1	
world		9	
worldnews		1	
worlds		1	
worldwide		3	
worry		1	
worst		2	
wow		2	
wowfakta		1	
written		1	
wurde		1	
wyclf		1	
xabsiga		1	
xkatemu		1	
xkmato		2	
xrlent		1	
y		2	
yang		1	
yap		1	
yaya		1	
yenyewe		2	
yola		1	
york		1	
you		3	
young		1	
your		2	
youre		1	
yowerimuseveni		1	
yvetteidk		1	
zoebear		1	
zomba		2	
zuid		1	
zurck		1	
